"RANK","COMPANY","CITY","STATE","2019 RANK","WEBSITE","PRIMARY OPERATION","REVENUE","2018 REVENUE","LEASED TRUCKS","OWNED TRUCKS","TOTAL TRUCKS","LEASED TRACTORS","OWNED TRACTORS","TOTAL TRACTORS","LEASED TRAILERS","OWNED TRAILERS","TOTAL TRAILERS","COMPANY DRIVERS","INDEPENDENT CONTRACTORS","TOTAL DRIVERS"
"29","Crete Carrier Corporation","Lincoln","NE","29","www.cretecarrier.com","General Freight","1198868270","1149311035","0","0","0","315","5241","5556","0","13773","13773","5241","315","5556"
"30","Universal Logistics Holdings, Inc.","Warren","MI","36","www.goutsi.com","General Freight","1511980000","1461708000","256","12","268","2807","1152","3959","1509","3772","5281","","","4657"
"31","Southeastern Freight Lines","Lexington","SC","30","www.sefl.com","General Freight","1384438320","1378928872","0","410","410","208","3177","3385","1521","9145","10666","4483","208","4691"
"32","Ruan","Des Moines","IA","32","www.ruan.com","Dedicated Contract Carriage","1258396283","1136118348","56","64","120","343","3361","3704","1169","8492","9661","4169","0","4169"
"33","Forward Air Corp./FAF, Inc.","Greeneville","TN","34","www.forwardair.com","General Freight","1410400000","1320887000","188","363","551","2264","760","3024","0","6191","6191","","","4157"
"34","Quality Distribution, Inc.","Tampa","FL","33","www.qualitydistribution.com","Tank/Bulk Commodities","","","0","2","2","2338","891","3229","3284","4037","7321","","","4760"
"35","Central Transport International, Inc.","Warren","MI","39","www.centraltransportint.com","General Freight","","","149","0","149","3580","0","3580","8675","0","8675","","","4177"
"36","P&S Logistics","Birmingham","AL","45","www.pstrans.com","Flatbed/Specialized/Heavy Haul","907000000","747399000","0","0","0","1500","2000","3500","2000","4000","6000","1700","1700","3400"
"37","Cardinal Logistics Management Corp.","Concord","NC","40","www.cardlog.com","Dedicated Contract Carriage","866950000","718000000","0","137","137","3220","81","3301","5800","2524","8324","3300","300","3600"
"38","Covenant Transportation Group, Inc.","Chattanooga","TN","35","www.covenanttransport.com","General Freight","894528000","885455000","3","0","3","597","2582","3179","647","6239","6886","","","3988"
"39","Heartland Express, Inc.","North Liberty","IA","49","www.heartlandexpress.com","General Freight","596815000","610803000","0","0","0","25","3975","4000","0","11000","11000","3975","25","4000"
"40","Stevens Transport, Inc.","Dallas","TX","38","www.stevenstransport.com","Refrigerated","737294000","813488000","0","0","0","1000","1450","2450","0","3750","3750","2700","1650","4350"
"41","DHL Express Americas","Plantation","FL","44","www.dhl-usa.com","Packages","4031344271","3780126370","182","215","397","871","372","1243","2807","713","3520","","","4162"
"42","KLLM Transport Services, LLC","Richland","MS","37","www.kllm.com","Refrigerated","","917000000","0","4","4","207","2729","2936","0","5099","5099","","","3132"
"43","SIRVA, Inc.","Westmont","IL","42","www.sirva.com","Household Goods","","","689","0","689","1761","0","1761","3364","146","3510","","","3462"
"44","Marten Transport, Ltd.","Mondovi","WI","50","www.marten.com","Refrigerated","843271000","787594000","0","0","0","0","3212","3212","0","5890","5890","3045","126","3171"
"45","Anderson Trucking Service, Inc.","Saint Cloud","MN","47","www.atsinc.com","Flatbed/Specialized/Heavy Haul","1274459000","1244459000","0","0","0","1759","1021","2780","0","7209","7209","1021","1759","2780"
"46","Pitt Ohio Express LLC","Pittsburgh","PA","43","www.pittohio.com","General Freight","855982000","826947000","0","764","764","109","1950","2059","110","5833","5943","3331","9","3340"
"47","Roadrunner Transportation Systems, Inc.","Downers Grove","IL","31","www.rrts.com","General Freight","1847900000","2216141000","44","0","44","1476","724","2200","2969","820","3789","","","2320"
"48","Western Express, Inc.","Nashville","TN","46","www.westernexp.com","General Freight","683535000","695122300","0","0","0","2850","150","3000","5965","2120","8085","2800","400","3200"
"49","AAA Cooper Transportation","Dothan","AL","48","www.aaacooper.com","General Freight","717652000","724248000","0","88","88","0","2433","2433","30","6706","6736","2869","0","2869"
"50","FirstFleet, Inc.","Murfreesboro","TN","51","www.firstfleetinc.com","Dedicated Contract Carriage","","","0","0","0","0","2972","2972","0","10261","10261","","","3261"
"51","Mercer Transportation Co., Inc.","Louisville","KY","53","www.mercer-trans.com","Flatbed/Specialized/Heavy Haul","543718245","602503930","0","0","0","2383","0","2383","1900","550","2450","0","2783","2783"
"52","TMC Transportation/Annett Holdings, Inc.","Des Moines","IA","54","www.tmctrans.com","Flatbed/Specialized/Heavy Haul","","","0","0","0","165","2695","2860","18","3933","3951","","","2882"
"53","Black Horse Carriers, Inc.","Carol Stream","IL","60","www.blackhorsecarriers.com","Dedicated Contract Carriage","561000000","494000000","0","284","284","3","1955","1958","0","4500","4500","3105","3","3108"
"54","United Road Services, Inc.","Plymouth","MI","55","www.unitedroad.com","Motor Vehicles","713000000","659000000","0","0","0","1168","1200","2368","1168","1200","2368","905","1168","2073"
"55","Bison Transport, Inc.","Winnipeg","MB","56","www.bisontransport.com","General Freight","633816788","556683600","0","0","0","892","1206","2098","0","6357","6357","1654","961","2615"
"56","Cowan Systems LLC","Baltimore","MD","57","www.cowansystems.com","General Freight","533012000","537163000","0","0","0","605","1782","2387","374","6682","7056","1855","577","2432"
"57","Bennett International Group","McDonough","GA","61","www.bennettig.com","Flatbed/Specialized/Heavy Haul","543307210","498317733","0","0","0","2198","135","2333","1002","1406","2408","114","2283","2397"
"58","Dayton Freight Lines, Inc.","Dayton","OH","59","www.daytonfreight.com","General Freight","679000000","659000000","0","159","159","0","1955","1955","0","4600","4600","2322","0","2322"
"59","P.A.M. Transportation Services, Inc.","Tontitown","AR","58","www.pamtransport.com","General Freight","514177000","533261000","0","0","0","553","1577","2130","56","7025","7081","1945","600","2545"
"60","USA Truck, Inc.","Van Buren","AR","63","www.usa-truck.com","General Freight","522630000","534060000","0","0","0","600","1471","2071","0","6314","6314","1556","564","2120"
"61","Roehl Transport, Inc.","Marshfield","WI","64","www.roehl.net","General Freight","421855022","421329721","0","7","7","42","2055","2097","0","5532","5532","2120","222","2342"
"62","Atlas Van Lines, Inc.","Evansville","IN","52","www.atlasworldgroup.com","Household Goods","713210069","716601828","796","0","796","1961","0","1961","3521","463","3984","0","1200","1200"
"63","Trimac Transportation","Calgary","AB","66","www.trimac.com","Tank/Bulk Commodities","","","0","3","3","890","916","1806","21","2531","2552","","","1873"
"64","Hirschbach Motor Lines, Inc.","Dubuque","IA","65","www.hirschbach.com","Refrigerated","550530000","","0","0","0","1312","575","1887","2","3501","3503","575","1312","1887"
"65","Eagle Express Lines, Inc.","South Holland","IL","73","www.eagleexpresslines.com","Dedicated Contract Carriage","","397410750","0","45","45","0","2107","2107","0","1770","1770","","","2094"
"66","Hogan Transports, Inc.","St. Louis","MO","67","www.hogan1.com","General Freight","","","0","0","0","0","1950","1950","0","2700","2700","2150","0","2150"
"67","Heniff Transportation Systems","Oak Brook","IL","104","www.heniff.com","Tank/Bulk Commodities","550000000","293000000","0","0","0","900","900","1800","1800","1950","3750","","","1770"
"68","RoadOne IntermodaLogistics","Randolph","MA","68","www.roadone.com","Intermodal","340000000","300000000","0","0","0","2233","0","2233","300","0","300","1700","400","2100"
"69","CEVA Logistics Americas","Houston","TX","76","www.cevalogistics.com","General Freight","","","593","65","658","1140","93","1233","2429","938","3367","","","2797"
"70","US 1 Industries","Valpariso","IN","70","www.us1industries.com","Intermodal","","","0","0","0","1893","40","1933","406","0","406","","","1883"
"71","Wheaton Van Lines, Inc.","Indianapolis","IN","71","www.wheatonworldwide.com","Household Goods","","","493","56","549","1185","100","1285","1402","576","1978","","","1964"
"72","Salmon Companies","North Little Rock","AR","72","www.patsalmon.com","General Freight","","","63","22","85","456","977","1433","618","1287","1905","","","2693"
"73","Dart Transit Co.","Eagan","MN","62","www.dart.net","General Freight","446132000","491912000","0","0","0","113","1589","1702","4000","6035","10035","496","1043","1539"
"74","MVT Services LLC/Mesilla Valley Transportation","Las Cruces","NM","77","www.m-v-t.com","General Freight","386805699","383950000","0","0","0","226","1394","1620","0","5552","5552","1506","232","1738"
"75","IMC Companies","Memphis","TN","74","www.imcc.com","Intermodal","347395000","368560132","0","0","0","1150","550","1700","0","150","150","550","1150","1700"
"76","JHT Holdings, Inc.","Pleasant Prairie","WI","93","www.jhtholdings.com","Motor Vehicles","533757000","471822000","0","3","3","200","1200","1400","0","140","140","1200","200","1400"
"77","Paladin Captal Inc.","Nashville","TN","106","www.paladin-capital.com","Dedicated Contract Carriage","299826000","263825000","0","14","14","1528","220","1748","1525","1008","2533","1809","70","1879"
"78","Jack Cooper Transport Co. Inc.","Kansas City","MO","69","www.jackcooper.com","Motor Vehicles","","","0","0","0","0","1414","1414","0","1414","1414","","","1294"
"79","Maverick USA, Inc.","Little Rock","AR","75","www.maverickusa.com","Flatbed/Specialized/Heavy Haul","346655838","350115872","0","0","0","83","1521","1604","33","2345","2378","1455","83","1538"
"80","A Duie Pyle, Inc.","West Chester","PA","82","www.aduiepyle.com","General Freight","491100000","428800000","0","121","121","0","1181","1181","0","2285","2285","1616","21","1637"
"81","Kaplan Trucking Co./Horizon Freight System, Inc.","Cleveland","OH","78","www.horizonfreightsystem.com","Intermodal","","","0","0","0","1149","498","1647","564","100","664","","","1647"
"82","Challenger Motor Freight Inc.","Cambridge","ON","79","www.challenger.com","General Freight","335000000","314000000","0","1","1","0","1570","1570","0","3550","3550","1300","220","1520"
"83","Central Freight Lines, Inc.","Waco","TX","84","www.centralfreight.com","General Freight","","","0","119","119","175","1357","1532","0","3725","3725","","","1175"
"84","Melton Truck Lines, Inc.","Tulsa","OK","85","www.meltontruck.com","Flatbed/Specialized/Heavy Haul","305717014","302227414","0","0","0","0","1457","1457","0","2407","2407","1323","0","1323"
"85","Lynden Companies","Anchorage","AK","83","www.lynden.com","Intermodal","1075000000","1050000000","0","101","101","100","777","877","0","2428","2428","867","100","967"
"86","Mr. Bult's, Inc.","Burnham","IL","92","www.mrbults.com","Tank/Bulk Commodities","323000000","298000000","0","0","0","38","1376","1414","0","3106","3106","1222","16","1238"
"87","Foodliner/Quest Liner Inc.","Dubuque","IA","88","www.foodliner.com","Tank/Bulk Commodities","334103000","317062000","0","0","0","247","1070","1317","0","2337","2337","980","247","1227"
"88","Transport Investments, Inc.","Pittsburgh","PA","80","www.thetii.com","Flatbed/Specialized/Heavy Haul","","","1","0","1","1172","0","1172","1268","0","1268","","","1170"
"89","ContainerPort Group, Inc.","Cleveland","OH","90","www.containerport.com","Intermodal","310000000","","0","0","0","1229","0","1229","380","0","380","0","1229","1229"
"90","TransAm Trucking, Inc.","Olathe","KS","95","www.transamtruck.com","Refrigerated","","","0","0","0","589","1014","1603","0","2161","2161","","","1051"
"91","The Dana Companies","Avenel","NJ","94","www.danacompanies.com","Tank/Bulk Commodities","","","0","3","3","803","505","1308","9","25","34","","","1268"
"92","Acme Truck Line, Inc.","Gretna","LA","81","www.acmetruck.com","Flatbed/Specialized/Heavy Haul","244956000","290475000","150","0","150","1200","0","1200","1300","150","1450","1350","0","1350"
"93","Paschall Truck Lines, Inc.","Murray","KY","96","www.ptl-inc.com","General Freight","250000000","268000000","0","0","0","85","1080","1165","0","3100","3100","1250","85","1335"
"94","Martin Transportation Systems, Inc.","Byron Center","MI","105","www.mtstrans.com","Dedicated Contract Carriage","","","0","0","0","15","1137","1152","0","2150","2150","","","1247"
"95","United Vision Logistics Holding Corp.","Lafayette","LA","91","www.visionlogisticsholding.com","Flatbed/Specialized/Heavy Haul","287000000","330000000","254","0","254","977","0","977","1217","0","1217","0","1196","1196"
"96","Stan Koch & Sons Trucking, Inc.","Minneapolis","MN","100","www.kochtrucking.us","General Freight","348850946","333639599","0","246","246","47","1117","1164","0","5540","5540","797","47","844"
"97","Groendyke Transport, Inc.","Enid","OK","101","www.groendyke.com","Tank/Bulk Commodities","265327353","244433079","0","1","1","156","1035","1191","269","1655","1924","1079","0","1079"
"98","Wilson Logistics","Springfield","MO","109","www.wilsonlogistics.com","General Freight","220100218","170252000","0","0","0","440","713","1153","0","2464","2464","762","454","1216"
"99","Hansen & Adkins Auto Transport","Los Alamitos","CA","103","www.hansenadkins.com","Motor Vehicles","","","0","0","0","286","831","1117","286","868","1154","","","1022"
"100","Trans-System, Inc.","Spokane","WA","102","www.trans-system.com","General Freight","290000000","300327000","0","0","0","236","790","1026","70","1780","1850","778","236","1014"
